1.A.1	The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.10	The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors
1.A.100	The Rhabdoviridae Putative Viroporin, U5 (RV-U5) Family
1.A.101	The Peroxisomal Pore-forming Pex11 (Pex11) Family
1.A.102	The Influenza A viroporin PB1-F2 (PB1-F2) Family
1.A.103	The Simian Virus 5 (Parainfluenza Virus 5) SH (SV5-SH) Family
1.A.104	The Proposed Flagellar Biosynthesis Na+ Channel, FlhA (FlhA) Family
1.A.105	The Mixed Lineage Kinase Domain-like (MLKL) Family
1.A.106	The Calcium Load-activated Calcium Channel (CLAC) Family 
1.A.107	The Pore-forming Globin (Globin) Family
1.A.108	The Fibroblast Growth Factor 2 (FGF2) Family
1.A.109	The Interleukin 1 (IL1) Family
1.A.11	The Ammonium Transporter Channel (Amt) Family
1.A.110	The Channel-forming Otopetrin (OTOP) Family
1.A.111	The Reactive Oxygen Species Modulator 1 (Romo1) Family 
1.A.112	The Cyclin M Mg2+ Exporter (CNNM) Family
1.A.113	The Small Integral Membrane Protein (SIMP) Family
1.A.114	The Proton-activated Chloride Channel (PACC) Family
1.A.115	The Pore-forming NADPH-dependent 1-Acyldihydroxyacetone Phosphate Reductase (Ayr1) Family
1.A.116	The Pore-forming Porcine Reproductive and Respiratory Syndrome Virus Viroporin (PRRSV) Family
1.A.117	The Coronavirus Membrane Matrix-Protein (M-Protein) Family 
1.A.118	The Plant Cycltide (Cyclotide) Family
1.A.119	The Stress-inducible Transmembrane Protein (TMPIT) Family
1.A.12	The Intracellular Chloride Channel (CLIC) Family
1.A.120	The Coronaviral Double Membrane Pore Complex (CoV-DMPC) Family
1.A.121	The Anterior Pharynx-defective Water Channel (APH-WC) Family
1.A.122	The Avian Encephalomyelitis Virus protein 3A (AEV-3A) Family
1.A.123	The LncRNA-encoded Pentameric Peptide Channel (LPPC) Family
1.A.124	The Small Mitochondrial Integral Membrane Protein (SMIM) Family 
1.A.125	The Calicivirus NS1-2 Viroporin (NS1-2 VP) Family
1.A.126	The Mpv17/Pmp22 4 TMS Putative Channel (Mpv17) Family
1.A.13	The Epithelial Chloride Channel (E-ClC) Family
1.A.14	The Calcium Transporter A (CaTA) (formerly the Testis-Enhanced Gene Transfer (TEGT) Family
1.A.15	The Non-selective Cation Channel-2 (NSCC2) Family
1.A.16	The Formate-Nitrite Transporter (FNT) Family
1.A.17	The Calcium-dependent Chloride Channel (Ca-ClC) Family
1.A.18	The Chloroplast Envelope Anion Channel-forming Tic110 (Tic110) Family
1.A.19	The Type A Influenza Virus Matrix-2 Channel (M2-C) Family
1.A.2	The Inward Rectifier K+ Channel (IRK-C) Family
1.A.20	The BCL2/Adenovirus E1B-interacting Protein 3 (BNip3) Family
1.A.21	The Bcl-2 (Bcl-2) Family
1.A.22	The Large Conductance Mechanosensitive Ion Channel (MscL) Family
1.A.23	The Small Conductance Mechanosensitive Ion Channel (MscS) Family
1.A.24	The Gap Junction-forming Connexin (Connexin) Family
1.A.25	The Gap Junction-forming Innexin (Innexin) Family
1.A.26	The Mg2+ Transporter-E (MgtE) Family
1.A.27	The Phospholemman (PLM) Family
1.A.28	The Urea Transporter (UT) Family
1.A.29	The Urea/Amide Channel (UAC) Family
1.A.3	The Ryanodine-Inositol 1,4,5-triphosphate Receptor Ca2+ Channel (RIR-CaC) Family
1.A.30	The H+- or Na+-translocating Bacterial Flagellar Motor/ExbBD Outer Membrane Transport Energizer (Mot/Exb) Superfamily
1.A.31	The Annexin (Annexin) Family
1.A.32	The Type B Influenza Virus NB Channel (NB-C) Family
1.A.33	The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family
1.A.34	The Bacillus Gap Junction-like Channel-forming Complex (GJ-CC) Family
1.A.35	The CorA Metal Ion Transporter (MIT) Family
1.A.36	The Intracellular Chloride Channel (ICC) Family
1.A.37	The CD20 Ca2+ Channel (CD20) Family
1.A.38	The Golgi pH Regulator (GPHR) Family
1.A.39	The Type C Influenza Virus CM2 Channel (CM2-C) Family
1.A.4	The Transient Receptor Potential Ca2+ Channel (TRP-CC) Family
1.A.40	The Human Immunodeficiency Virus Type I, HIV-1 (Retrovirdiac) Vpu Channel (Vpu-C) Family
1.A.41	The Avian Reovirus p10 Viroporin/Glutamine Dumper 1 (p10 Viroporin/GDU1) Family
1.A.42	The HIV Viral Protein R (Vpr) Family
1.A.43	The Camphor Resistance or Fluoride Exporter (Fluc) Family
1.A.44	The Pore-forming Tail Tip pb2 Protein of Phage T5 (T5-pb2) Family
1.A.46	The Anion Channel-forming Bestrophin (Bestrophin) Family
1.A.47	The Nucleotide-sensitive Anion-selective Channel, ICln (ICln) Family
1.A.48	The Anion Channel Tweety (Tweety) Family
1.A.49	The Human Coronavirus ns12.9 Viroporin (ns12.9) Family
1.A.5	The Polycystin Cation Channel (PCC) Family
1.A.50	The Phospholamban (Ca2+-channel and Ca2+-ATPase Regulator) (PLB) Family
1.A.51	The Voltage-gated Proton Channel (VPC) Family
1.A.52	The Ca2+ Release-activated Ca2+ (CRAC) Channel (CRAC-C) Family
1.A.53	The Hepatitis C Virus P7 Viroporin Cation-selective Channel (HCV-P7) Family
1.A.54	The Presenilin ER Ca2+ Leak Channel (Presenilin) Family
1.A.55	The Synaptic Vesicle-Associated Ca2+ Channel, Flower (Flower) Family
1.A.56	The Copper Transporter (Ctr) Family
1.A.57	The Human SARS Coronavirus Viroporin (SARS-VP)
1.A.58	The Type B Influenza Virus Matrix Protein 2 (BM2-C) Family
1.A.59	The Bursal Disease Virus Pore-Forming Peptide, Pep46 (Pep46) Family
1.A.6	The Epithelial Na+ Channel (ENaC) Family
1.A.60	The Mammalian Reovirus Pre-forming Peptide, Mu-1 (Mu-1) Family
1.A.61	The Insect Nodavirus Channel-forming Chain F (Gamma-Peptide) Family
1.A.62	The Homotrimeric Cation Channel (TRIC) Family
1.A.63	The Ignicoccus Outer Membrane α-helical Porin (I-OMP) Family
1.A.64	The Plasmolipin (Plasmolipin) Family
1.A.65	The Coronavirus Viroporin E Protein (Viroporin E) Family
1.A.66	The Pardaxin (Pardaxin) Family
1.A.67	The Membrane Mg2+ Transporter (MMgT) Family 
1.A.68	The Viral Small Hydrophobic Viroporin (V-SH) Family
1.A.69	The Heteromeric Odorant Receptor Channel (HORC) Family
1.A.7	The ATP-gated P2X Receptor Cation Channel (P2X Receptor) Family
1.A.70	The Molecule Against Microbes A (MamA) Family 
1.A.71	The Brain Acid-soluble Protein Channel (BASP1 Channel) Family 
1.A.72	The Mercuric Ion Pore (Mer) Superfamily
1.A.73	The Colicin Lysis Protein (CLP) Family 
1.A.74	The Mitsugumin 23 (MG23) Family
1.A.75	The Mechanical Nociceptor, Piezo (Piezo) Family
1.A.76	The Magnesium Transporter1 (MagT1) Family
1.A.77	The Mg2+/Ca2+ Uniporter (MCU) Family
1.A.78	The K+-selective Channel in Endosomes and Lysosomes (KEL) Family
1.A.79	The Cholesterol Uptake Protein (ChUP) or Double Stranded RNA Uptake Family
1.A.8	The Major Intrinsic Protein (MIP) Family
1.A.81	The Low Affinity Ca2+ Channel (LACC) Family
1.A.82	The LHFPL Tetraspan Protein (LTSP) Family
1.A.83	The SV40 Virus Viroporin VP2 (SV40 VP2) Family
1.A.84	The Calcium Homeostasis Modulator Ca2+ Channel (CALHM-C) Family
1.A.85	The Poliovirus 2B Viroporin (2B Viroporin) Family
1.A.86	The Human Papilloma Virus type 16 (HPV16) L2 Viroporin (L2 Viroporin) Family
1.A.87	The Mechanosensitive Calcium Channel (MCA) Family
1.A.88	The Fungal Potassium Channel (F-Kch) Family
1.A.89	The Human Coronavirus 229E Viroporin (229E Viroporin) Family
1.A.9	The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family
1.A.90	The Human Metapneumovirus (HMPV) Viroporin (HMPV-Viroporin) Family
1.A.91	The Cytoadherence-linked Asexual Protein 3.2 of Plasmodium falciparum (Clag3) Family
1.A.92	The Reovirus Viroporin VP10 (RVP10) Family
1.A.93	The Bluetongue Virus Non-Structural Protein 3 Viroporin (NS3) Family
1.A.94	The Rotavirus Non-structural Glycoprotein 4 Viroporin (NSP4) Family
1.A.95	The Ephemerovirus Viroporin (EVVP) Family
1.A.96	The Human Polyoma Virus Viroporin (PVVP) Family 
1.A.97	The Human Papillomavirus type 16 E5 Viroporin (HPV-E5) Family
1.A.98	The Human T-Lymphotropic Virus 1 P13 protein (HTLV1-P13) Family
1.A.99	The Infectious Bronchitis Virus Envelope Small Membrane Protein E (IBV-E) Family 
1.B.1	The General Bacterial Porin (GBP) Family
1.B.10	The Nucleoside-specific Channel-forming Outer Membrane Porin (Tsx) Family
1.B.11	The Outer Membrane Fimbrial Usher Porin (FUP) Family
1.B.12	The Autotransporter-1 (AT-1) Family
1.B.13	The Alginate Export Porin (AEP) Family
1.B.14	The Outer Membrane Receptor (OMR) Family
1.B.15	The Raffinose Porin (RafY) Family
1.B.16	The Short Chain Amide and Urea Porin (SAP) Family
1.B.161	The Pore-forming Short-chain Synthetic Peptide (PSSP) Family
1.B.17	The Outer Membrane Factor (OMF) Family
1.B.18	The Outer Membrane Auxiliary (OMA) Protein Family
1.B.19	The Glucose-selective OprB Porin (OprB) Family
1.B.2	The Chlamydial Porin (CP) Family
1.B.20	The Two-Partner Secretion (TPS) Family
1.B.21	The OmpG Porin (OmpG) Family
1.B.22	The Outer Bacterial Membrane Secretin (Secretin) Family
1.B.23	The Cyanobacterial Porin (CBP) Family
1.B.24	The Mycobacterial Porin (MBP) Family
1.B.25	The Outer Membrane Porin (Opr) Family
1.B.26	The Cyclodextrin Porin (CDP) Family
1.B.27	The Helicobacter Outer Membrane Porin (HOP) Family
1.B.28	The Plastid Outer Envelope Porin of 24 kDa (OEP24) Family
1.B.29	The Plastid Outer Envelope Porin of 21 kDa (OEP21) Family
1.B.3	The Sugar Porin (SP) Family
1.B.30	The Plastid Outer Envelope Porin of 16 kDa (OEP16) Family
1.B.31	The Campylobacter jejuni Major Outer Membrane Porin (MomP) Family
1.B.32	The Fusobacterial Outer Membrane Porin (FomP) Family
1.B.33	The Outer Membrane Protein Insertion Porin (Bam Complex) (OmpIP) Family
1.B.34	The Corynebacterial Porin A (PorA) Family
1.B.35	The Oligogalacturonate-specific Porin (KdgM) Family
1.B.36	The Borrelia Porin p13 (BP-p13) Family
1.B.37	The Leptospira Porin OmpL1 (LP-OmpL1) Family
1.B.38	The Treponema Porin Major Surface Protein (TP-MSP) Family
1.B.39	The Bacterial Porin, OmpW (OmpW) Family
1.B.4	The Brucella-Rhizobium Porin (BRP) Family
1.B.40	The Autotransporter-2 (AT-2) Family
1.B.41	The Corynebacterial Porin B (PorB) Family
1.B.42	The Outer Membrane Lipopolysaccharide Export Porin (LPS-EP) Family
1.B.43	The Coxiella Porin P1 (CPP1) Family
1.B.44	The Probable Protein Translocating Porphyromonas gingivalis Porin (PorT) Family
1.B.45	The Treponema Porin (T-Por) Family
1.B.46	The Outer Membrane LolAB Lipoprotein Insertion Apparatus (LolAB) Family
1.B.47	The Plastid Outer Envelope Porin of 37 kDa (OEP37) Family
1.B.48	The Curli Fiber Subunit Porin, CgsA, CsgG (CsgG) Family
1.B.49	The Anaplasma P44 (A-P44) Porin Family
1.B.5	The Pseudomonas OprP Porin (POP) Family
1.B.50	The Acid-fast Bacterial, Outer Membrane Porin (AFB-OMP) Family
1.B.51	The Oms66 Porin (Oms66P) Family
1.B.52	The Oms28 Porin (Oms28P) Family
1.B.53	The Filamentous Phage g3p Channel-Forming Protein (FP-g3p) Family
1.B.54	The Intimin/Invasin (Int/Inv) or Autotransporter-3 (AT-3) Family 
1.B.55	The Poly Acetyl Glucosamine Porin (PgaA) Family
1.B.56	The Spirochaete Outer Membrane Porin (S-OMP) Family
1.B.57	The Legionella Major-Outer Membrane Protein (LM-OMP) Family
1.B.58	The Nocardial Hetero-oligomeric Cell Wall Channel (NfpA/B) Family
1.B.59	The Outer Membrane Porin, PorH (PorH) Family
1.B.6	The OmpA-OmpF Porin (OOP) Family
1.B.60	The Omp50 Porin (Omp50 Porin) Family
1.B.61	The Delta-Proteobacterial Porin (Delta-Porin) Family
1.B.62	The Putative Bacterial Porin (PBP) Family
1.B.63	The Imipenum resistance-associated porin, CarO (CarO) Family
1.B.64	The Brucella Omp2 Porin (B-Omp2) Family
1.B.65	The Outer Membrane Porin OpcA (OpcA) Family
1.B.66	The Putative Beta-Barrel Porin-2 (BBP2) Family
1.B.67	The Putative Beta Barrel Porin-4 (BBP4) Family
1.B.68	The Putative Beta Barrel Porin-5 (BBP5) Superfamily
1.B.69	The Peroxysomal Membrane Porin 4 (PxMP4) Family
1.B.7	The Rhodobacter PorCa Porin (RPP) Family
1.B.70	The Outer Membrane Channel (OMC) Family
1.B.71	The Proteobacterial/Verrucomicrobial Porin (PVP) Family
1.B.72	The Protochlamydial Outer Membrane Porin (PomS/T) Family
1.B.73	The Capsule Biogenesis/Assembly (CBA) Family
1.B.74	The Outer Membrane Beta Barrel L32 Protein (OmpL32) Family
1.B.75	The DUF481 Putative Beta Barrel Porin (DUF481) Family
1.B.76	The Copper Resistance Putative Porin (CopB) Family
1.B.77	The Chloroplast Outer Membrane Porin (Oep23) Family
1.B.78	 The DUF3374 Electron Transport-associated Porin (ETPorin) Family
1.B.79	The Porin-Sphingomyelinase Fusion Protein, SpmT (SpmT) Family
1.B.8	The Mitochondrial and Plastid Porin (MPP) Family
1.B.80	The Putative Trans-Outer Membrane Electron Flow Porin (TOM-EF) Family 
